Index,Category,Project ID,Project Name,State,County,Electrical Area (CREZ),Latitude,Longitude,LCR Area,Technology,Subtechnology,Type,Contract Start Date,Contract End Date,Eligible for Recontr?,Product Content Category,CAISO,Bundled,Deliverability Type,PG&E,SCE,SDG&E,Other CAISO,NonCAISO,Contract Capacity,Annual Energy,Capacity Factor,Technology Index,ELCC Profile,Energy Value Profile,Losses,Degradation,Risk Adjustment,Unit Cost
1285,3,PG40029,Nevada Irrigation District/Bowman Hyroelectric Project,CA,Nevada,Nevada County,39.184837,-120.887806,0,Hydro,Small,Existing,1/1/2017,12/31/2036,1,1,1,1,1,0,0,0,1,0,3.6,13.07700001,0.41466895,5,Baseload,Baseload,0,0,1,73.33887134
1286,3,PG4094,Tri-Dam Authority,CA,Tuolumne,Tuolumne County,38.186106,-120.150172,0,Hydro,Small,Existing,1/1/2017,12/31/2036,1,1,1,1,1,0,0,0,1,0,16.2,78.19700006,0.551024579,5,Baseload,Baseload,0,0,1,73.33887134
1287,3,PG7005,Altamont Power LLC (6-4),CA,Alameda,Solano,37.748358,-121.627579,0,Wind,,Existing,1/1/2017,12/31/2041,1,1,1,1,1,0,0,0,1,0,19,28.12199999,0.168961788,18,Wind - Coastal,Wind - Coastal,0,0,1,76.4463949
1288,3,PG7015,Green Ridge Power LLC (23.8 MW),CA,Alameda,Solano,37.706326,-121.717358,0,Wind,,Existing,1/1/2017,12/31/2041,1,1,1,1,1,0,0,0,1,0,10.8,24.59300002,0.259946305,18,Wind - Coastal,Wind - Coastal,0,0,1,76.4463949
1289,3,SC11090,L.A. Co. Sanitation Dist (Puente Hills),CA,Los Angeles,Los Angeles County (Partial),34.0273,-118.03011,0,Biogas,Distributed,Existing,1/1/2017,12/31/2036,1,1,1,1,1,0,0,0,1,0,50,378.65,0.864497717,1,Baseload,Baseload,0,0,1,73.33887134
1290,3,SD4001,City of San Diego - Point Loma,CA,San Diego,San Diego South,32.6786,-117.247,0,Biogas,Distributed,Existing,1/1/2017,12/31/2036,1,1,1,1,1,0,0,0,1,0,4.8,22.00000001,0.523211568,1,Baseload,Baseload,0,0,1,117.8322017
1291,3,CAISO_LSE_Contract_006,San Dimas Wash [H0443],CA,0,n/a,n/a,n/a,0,Hydro,Small,Existing,1/1/2017,12/31/2036,1,1,1,1,1,0,0,0,1,0,1.05,2.048144286,0.222672786,5,Baseload,Baseload,0,0,1,94.96886097
1292,3,CAISO_LSE_Contract_080,Total Energy Facilities [E0212],CA,0,n/a,n/a,n/a,0,Biomass,Large,Existing,1/1/2017,12/31/2036,1,1,1,1,1,0,0,0,1,0,38.4,135.1532499,0.401782635,3,Baseload,Baseload,0,0,1,160.593596
1293,3,CAISO_LSE_Contract_081,Calabasas Gas-to-Energy [E0227],CA,0,n/a,n/a,n/a,0,Biogas,Distributed,Existing,1/1/2017,12/31/2036,1,1,1,1,1,0,0,0,1,0,13.8,44.58782497,0.368835823,1,Baseload,Baseload,0,0,1,190.696418
1294,3,CAISO_LSE_Contract_092,MM West Covina LLC Gen 2 [E0152],CA,0,n/a,n/a,n/a,0,Biogas,Distributed,Existing,1/1/2017,12/31/2036,1,1,1,1,1,0,0,0,1,0,7.1,36.646,0.589201878,1,Baseload,Baseload,0,0,1,98.33445734
1295,3,PG2004,DG Fairhaven Power LLC,CA,Humboldt,Humboldt County,40.798924,-124.203595,0,Biomass,Large,Existing,2/3/2017,2/2/2037,1,1,1,1,1,0,0,0,1,0,17.25,102.661,0.67937926,3,Baseload,Baseload,0,0,1,115.2251598
1296,3,PG2012,Pacific-Ultrapower Chinese Station,CA,Tuolumne,Tuolumne County,37.877191,-120.473588,0,Biomass,Large,Existing,1/24/2017,1/23/2037,1,1,1,1,1,0,0,0,1,0,22,127.398,0.661052304,3,Baseload,Baseload,0,0,1,117.0456372
1297,3,PG4022,El Dorado (Montgomery Ck),CA,El Dorado,Round Mountain - B,40.836113,-121.934445,0,Hydro,Small,Existing,2/28/2017,2/27/2037,1,1,1,1,1,0,0,0,1,0,2.6,8.701000011,0.382024939,5,Baseload,Baseload,0,0,1,73.33887134
1298,3,PG4025,Far West Power Corporation,CA,Mendocino,Mendocino County,39.348919,-123.122194,0,Hydro,Small,Existing,9/30/2017,9/29/2037,1,1,1,1,1,0,0,0,1,0,0.4,0.196,0.055936073,5,Baseload,Baseload,0,0,1,375.0225729
1299,3,PG4050,Mega Renewables (Bidwell Ditch),CA,Shasta,Round Mountain - B,40.801354,-121.448054,0,Hydro,Small,Existing,2/22/2017,2/21/2037,1,1,1,1,1,0,0,0,1,0,2,11.09000001,0.632990868,5,Baseload,Baseload,0,0,1,73.33887134
1300,3,PG4051,Mega Renewables (Hatchet Crk),CA,Shasta,Round Mountain - B,40.874194,-121.920403,0,Hydro,Small,Existing,1/5/2017,1/4/2037,1,1,1,1,1,0,0,0,1,0,7,17.68099997,0.288339856,5,Baseload,Baseload,0,0,1,73.57224792
1301,3,PG4053,Mega Renewables (Silver Springs),CA,Shasta,Round Mountain - B,41.0207,-121.91113,0,Hydro,Small,Existing,8/15/2017,8/14/2037,1,1,1,1,1,0,0,0,1,0,0.6,2.141000001,0.407343988,5,Baseload,Baseload,0,0,1,73.33887134
1302,3,PG7054,Buena Vista,CA,Contra Costa,Solano,37.807778,-121.624722,0,Wind,,Existing,4/17/2017,4/16/2042,1,1,1,1,1,0,0,0,1,0,43,107.9999998,0.286715514,18,Wind - Coastal,Wind - Coastal,0,0,1,76.4463949
1303,3,SC33104,Ormesa Geothermal I II GEM,CA,Imperial,Imperial South,32.7758,-115.26436,0,Geothermal,,Existing,11/30/2017,11/29/2037,1,1,0,1,1,0,0,0,1,0,63,385.7600002,0.698992535,4,Baseload,Baseload,0,0,1,80.01866032
1304,3,SC44029,LA CO Flood Control District  **,CA,Los Angeles,Los Angeles County (Partial),34.2002,-117.859162,0,Hydro,Small,Existing,10/17/2017,10/16/2037,1,1,1,1,1,0,0,0,1,0,4.975,16.50999999,0.378834813,5,Baseload,Baseload,0,0,1,73.33887134
1305,3,SC44035,Three Valleys MWD (Fulton Road),CA,Los Angeles,Los Angeles County (Partial),34.1002,-117.75592,0,Hydro,Small,Existing,4/2/2017,4/1/2037,1,1,1,1,1,0,0,0,1,0,0.2,1.049999999,0.599315068,5,Baseload,Baseload,0,0,1,73.33887134
1306,3,SC44037,Three Valleys MWD (Williams),CA,Los Angeles,Los Angeles County (Partial),34.1159,-117.750919,0,Hydro,Small,Existing,6/22/2017,6/21/2037,1,1,1,1,1,0,0,0,1,0,0.35,1.559999999,0.508806262,5,Baseload,Baseload,0,0,1,73.33887134
1307,3,SC44137,American Energy Inc. (Fullerton Hydro),CA,Orange,Orange County,33.9246,-117.946354,0,Hydro,Small,Existing,2/1/2017,1/31/2037,1,1,1,1,1,0,0,0,1,0,0.4,0.780000001,0.22260274,5,Baseload,Baseload,0,0,1,94.99842441
1308,3,SC76012,ON Wind Energy LLC,CA,Kern,Tehachapi,35.0375,-118.358333,0,Wind,,Existing,4/19/2017,4/18/2042,1,1,1,1,1,0,0,0,1,0,2.4,0.95999999,0.0456621,18,Wind - Inland,Wind - Inland,0,0,1,236.0104782
1309,3,SC76105,Terra-Gen 251 Wind LLC  (Monolith X),CA,Kern,Tehachapi,35.0875,-118.35,0,Wind,,Existing,6/10/2017,6/9/2042,1,1,1,1,1,0,0,0,1,0,5.31,9.819999998,0.211111971,18,Wind - Inland,Wind - Inland,0,0,1,74.67601156
1310,3,SC76106,Terra-Gen 251 Wind LLC  (Monolith XI),CA,Kern,Tehachapi,35.0875,-118.35,0,Wind,,Existing,6/30/2017,6/29/2042,1,1,1,1,1,0,0,0,1,0,4.99,8.209999978,0.187818559,18,Wind - Inland,Wind - Inland,0,0,1,74.67601156
